drug_name,recall_initiation_date,reason_for_recall,status,recalled
zarxio 300 mcg,20180403,Lack of Processing Controls.,Terminated,1
morphine sulfate extended-release tablets,20190410,Failed Impurities/Degradation Specifications,Terminated,1
qp cough cold tablet 16 ct distributed to specific family dollar stores 04,20220623,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,1
ambi 2cpm,20130130,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,Terminated,1
phentermine hydrochloride capsules,20150714,Failed Impurities/Degradation Specifications: out-of-specification results for individual unknown and total impurity at the 12th month room temperature stability test station,Terminated,1
testosterone 40 mg pellet packaged in amber vial,20180322,Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,Terminated,1
bismuth subsalicylate oral suspension 262mg,20190325,Labeling: Incorrect or Missing Lot and/or Exp Date - the label contains an incorrect Exp Date.,Terminated,1
m,20160513,Lack of Assurance of Sterility,Terminated,1
injectafer 720 mg in 100 ml ns ivpb,20190612,Lack of Assurance of Sterility,Terminated,1
belbuca,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
nifedipine usp  for prescription compounding,20180209,CGMP Deviations: Lack of stability data and controls to support the manufacturers assigned retest or expiration date in firm's container/closure system.,Terminated,1
fluconazole,20130702,"Labeling: Label Mixup: FLUCONAZOLE, Tablet, 200 mg may have potentially been mislabeled as one of the following drugs:  VALSARTAN, Tablet, 80 mg, NDC 00078035834, Pedigree: AD65475_10, EXP: 5/28/2014;  FLUCONAZOLE, Tablet, 100 mg, NDC 68462010230, Pedigree: W003064, EXP: 6/12/2014.",Terminated,1
cefdinir for oral suspension usp,20190102,CGMP Deviations: Product complaints received indicating reconstituted suspension was observed to be thick.,Terminated,1
ondansetron injection,20130520,Presence of Particulate; lot being recalled as a precaution due to the discovery of 2 particles found in a lot which preceded the recalled lot,Terminated,1
succinylcholine chloride all strengths,20170222,Labeling: Not Elsewhere Classified: Products may contain synthetic latex and/or natural latex.,Terminated,1
mic ultra-sulfur free 30ml,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
biest td 80,20150310,Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin cross contamination.,Terminated,1
fentanyl 500 mcg,20230720,cGMP deviations: due to shipment of rejected units.,Terminated,1
cathflo activase,20240520,Lack of Assurance of Sterility: Deformed stoppers observed during filling operations for Cathflo Activase.,Ongoing,1
klean touch hand sanitizer,20211130,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,Terminated,1
hand sanitizer,20230117,"CGMP Deviations: Voluntary recall of all hand sanitizer distributed after March 31, 2022, due to FDA issued guidance to cease placing hand sanitizer product, produced under temporary approval, into the market after March 31, 2022.",Ongoing,1
vitamin b complex with c,20130702,"Labeling:Label Mixup; VITAMIN B COMPLEX WITH C/FOLIC ACID, Tablet may be potentially mislabeled as    LEVOTHYROXINE SODIUM, Tablet, 88 mcg, NDC 00378180701, Pedigree: AD73652_10, EXP: 5/30/2014;  HYOSCYAMINE SULFATE ER, Tablet, 0.375 mg, NDC 43199001401, Pedigree: W003576, EXP: 6/24/2014;  MELATONIN, Tablet, 3 mg, NDC 51991001406, Pedigree: AD70655_14, EXP: 5/28/2014;  MELATONIN, Tablet, 3 mg, NDC",Terminated,1
prostatin capsules,20190712,CGMP Deviations: Products were manufactured outside of the controls required by current Good Manufacturing Practices.,Terminated,1
b complex inj cmp-no b12,20211012,Lack of assurance of sterility,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
alprostadil 40mcg,20211012,Lack of assurance of sterility,Terminated,1
testosterone topical solution,20190313,Defective Container: Repetitive complaints received indicating pump not working.,Terminated,1
fentanyl citrate in 0,20220725,Lack of Assurance of Sterility,Terminated,1
