drug_name,recall_initiation_date,reason_for_recall,status,recalled
roflumilast active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
hextend 6,20121022,Lack of Assurance of Sterility: There is the potential for the solution to leak from the seal of the fill tube to the bag.,Terminated,1
nystatin 5bu,20231211,Labeling: Label Error on Declared Strength: Assay value on the label is incorrect.,Ongoing,1
human chorionic gonadotropin 1,20201120,CGMP deviations: Lack of potency testing.,Terminated,1
zeasorb af,20161018,"Labeling Not Elsewhere Classified: front labels have the incorrect NDC or 0145-1506-01 instead of the correct NDC of 0145-1506-05 and some back labels have the incorrect indication stating ""use for the cure of most jock itch"" rather than ""use for the cure of most athlete's foot"".",Terminated,1
gelato,20241114,CGMP deviations: the bulk product was rejected by the Quality Unit after routine inspection of the mixing vessel showed scratches on the sides and bottom of the mixing vessel. Product was to be rejected but was inadvertently released and shipped to customers.,Ongoing,1
ceftazidime,20141006,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,Terminated,1
dexpanthenol 250mg,20160513,Lack of Assurance of Sterility,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
toothette oral care suction toothbrushes with perox-a-mint solution,20170822,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,Terminated,1
fentanyl 500 mcg,20230502,Lack of Assurance of Sterility,Ongoing,1
belladonna extract powder active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
net remedies,20180720,Microbial contamination,Terminated,1
ibuprofen active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
nurtec odt,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
l-glutathione 100mg,20160513,Lack of Assurance of Sterility,Terminated,1
medline suture removal tray,20170921,Subpotent Drug:The titratable iodine contained in the Povidone-Iodine prep pads  is below label claim of 0.85%.,Terminated,1
quad mix injectable,20131018,Lack of Assurance of Sterility; All lots of sterile products compounded by the pharmacy within expiry are subject to this recall. This recall is initiated due to concerns associated with quality control procedures observed during a recent FDA inspection.,Terminated,1
glycerin 98,20150212,Lack of Assurance of Sterility and Stability Data does not Support Expiry: recent inspection observations associated with certain quality control procedures that present a risk to sterility and quality assurance.,Terminated,1
10 mcg,20160505,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,Terminated,1
sofosbuvir and velpatasvir,20250307,Defective Container: blister packs not properly sealed resulting in tablets being loose in the carton.,Ongoing,1
q care rx oral cleansing,20170822,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,Terminated,1
vasopressin 20 units added to 0,20230428,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,Completed,1
cardec dm drops,20130130,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,Terminated,1
hydroxocobalamin 5000iu,20151019,Lack of Assurance of Sterility,Terminated,1
testosterone,20180322,Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,Terminated,1
levophed norepinephrine bitartrate,20170518,GMP Deviation; A foreign stopper was observed during packaging of a lot of product.,Terminated,1
sheer desenz desensitizing treatment,20181116,cGMP violations noted during the firm's most recent inspection.,Terminated,1
magic slim capsules,20131210,"Marketed Without An Approved NDA/ANDA: The product contains undeclared sibutramine and phenolphthalein. Marketed Without An Approved NDA/ANDA: The product contains undeclared sibutramine and phenolphthalein. Sibutramine and phenolphthalein are not currently marketed in the United States, making this product an unapproved new drug.",Terminated,1
allergease,20181009,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.,Terminated,1
scent theory keep clean moisturizing hand sanitizer,20200723,CGMP Deviations: Born Basic Anti Bac was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,Terminated,1
candesartan cilexetil tablets,20210913,Failed Impurities/Degradation Specifications; out of specification for Related Compound,Terminated,1
lipotropic 1,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
tri-mix papaverine,20180910,Lack of Assurance of Sterility,Terminated,1
renacidin irrigation,20130422,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes.,Terminated,1
s-hydrogen peroxide 3,20190812,Lack of Assurance of Sterility,Terminated,1
ezetimibe and simvastatin tablets 10-10mg 30,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
hydromorphone hcl 10 mg,20171010,Lack of Assurance of Sterility.,Terminated,1
gatifloxacin ophthalmic solution 0,20190906,Failed Impurities/Degradation Specifications:OOS for unknown impurity.,Terminated,1
double strength pge1 40mcg,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
clenziderm m,20130501,"cGMP Deviations; during the production process, CLENZIderm M.D. Daily Foam Cleanser was filled into some bottles labeled as CLENZIderm M.D. Pore Therapy",Terminated,1
acetylcysteine ophthalmic solution,20181217,Lack of sterility assurance.,Terminated,1
iron 100 with vitamin c tablets dietary supplement 100 tablets ndc 60258-099-01 distributed by,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
minoxidil 10,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
venlafaxine hydrochloride extended-release tablets,20140320,Failed Dissolution Specifications: Stability results found the product did not meet the drug release dissolution specifications.,Terminated,1
hcg 11000u w,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
hydroxyzine hci tablets usp 10 mg,20131211,Good Manufacturing Practices Deviations: The product has an Active Pharmaceutical Ingredient from an unapproved source.,Terminated,1
metoprolol succinate extended-release tablets,20140401,Failed Dissolution Specifications: failure of dissolution test observed at nine month time point.,Terminated,1
ibuprofen tablets,20140701,"Labeling: Label Mix-Up: Some cartons of AHP Ibuprofen Tablets, USP, 600mg, lot #142588 that contain blister cards filled with Ibuprofen tablets, 600mg drug product, were found to be mis-labeled  with blister card print identifying the product as AHP Oxcarbazepine Tablets, 300mg, lot #142544",Terminated,1
hcg-20,20141107,Lack of sterility assurance;All lots of sterile products compounded by the pharmacy that are within expiry were recalled due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,Terminated,1
all spironolactone products,20160325,Lack of Processing Controls,Terminated,1
hyaluronic acid sodium 28 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
orkambi 100 mg,20180403,Lack of Processing Controls.,Terminated,1
triamterene and hydrochlorothiazide tablets,20180709,Subpotent Drug,Terminated,1
gac,20220307,Lack of Assurance of Sterility,Ongoing,1
thayers natural remedies,20180803,CGMP Deviations: products manufactured under conditions that could impact its product quality.,Terminated,1
durisan antimicrobial solutions,20210310,Microbial Contamination of Non-Sterile Products: firm's internal testing found certain lots of the product to be contaminated with Burkholderia contaminans and/or yeast and mold.,Terminated,1
goldenseal root powder organic,20200817,"Microbial Contamination of Non-Sterile Products: FDA laboratory analysis found product to be contaminated with various microorganisms including Enterobacter cloacae, Cronobacter sakazakii, Cronobacter dublinensis, among others.",Terminated,1
dr,20180720,Microbial contamination,Terminated,1
curaplex epi kit not for iv use,20181102,"Labeling Incorrect Instructions:  This recall has been initiated because the Instructions for Use included in the Epi-Safe Kits for the Epi-Safe Syringe (and/or the Safety Lok Syringe in Model 8600-01120) recommend a midpoint dosage of epinephrine for children between 0 lbs. and 66 lbs. of 0.15mL that has not been approved by FDA for children. Reliance on the current IFU and/or use of the Epi-Safe Syringe as instructed may result in the administration of an inappropriate dosage of epinephrine to young children experiencing anaphylaxis, especially those under 33 lbs. Additionally the Epi Safe syringe does not have the correct markings to allow a health care provider to draw up the correct dosage for children under 33 kg.",Terminated,1
docetaxel 60 mg,20190612,Lack of Assurance of Sterility,Terminated,1
metoprolol succinate extended-release tablets,20230105,Failed Dissolution Specification,Terminated,1
pge 20 mcg,20131018,Lack of Assurance of Sterility; All lots of sterile products compounded by the pharmacy within expiry are subject to this recall. This recall is initiated due to concerns associated with quality control procedures observed during a recent FDA inspection.,Terminated,1
green lumber natural fuel for men capsule,20191022,"Marketed without an Approved NDA/ANDA: FDA analysis found this product to contain undeclared Tadalafil, an FDA approved drug for the treatment of erectile dysfunction.",Terminated,1
posaconazole delayed-release tablets,20230131,Failed Impurities/Degradation Specifications: High Out Of Specification degradation results.,Terminated,1
sildenafil citrate,20130702,"Labeling: Label Mixup: SILDENAFIL CITRATE, Tablet, 25 mg may have potentially been mislabeled as the following drug:  PHENobarbital/ HYOSCYAMINE/ ATROPINE/ SCOPOLAMINE, Tablet, 16.2 mg/0.1037 mg/0.0194 mg/0.0065 mg, NDC 66213042510, Pedigree: W003640, EXP: 6/25/2014.",Terminated,1
copaxone 20 mg injection pfs,20180403,Lack of Processing Controls.,Terminated,1
lisinopril tablets usp,20160525,Labeling: Incorrect or Missing Package Insert,Terminated,1
hydromorphone hcl 10mg,20201217,"Lack of Assurance of Sterility; potential for a defective syringe cap, resulting in a non-integral unit",Terminated,1
rizatriptan benzoate film coated tablets,20211018,Out-of-specification test results obtained in Organic Impurities test during analysis of controlled samples.,Terminated,1
epoprostenol sodium for injection,20210729,Lack of Assurance of Sterility,Terminated,1
doxazosin tablets,20230323,cGMP Deviations for the manufacturing Firm (Accord Healthcare) after their inspection.,Ongoing,1
advance trauma kit - product code 85-0742,20160927,Lack of Assurance of Sterility: Concerns with product sterility by the manufacturer of the eye wash irrigating solution.,Terminated,1
clozapine tablets usp,20170424,Microbial Contamination of Non-Sterile Products,Terminated,1
promethazine hydrochloride tablets,20140508,Presence of Foreign Tablets: Presence of atenolol 25 mg tablet mixed into promethazine 25 mg tablet bottles.,Terminated,1
reverse dml lotion,20170210,Lack of Assurance of Sterility: There are also CGMP Deviations.,Terminated,1
metabolase injection,20130529,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Ongoing,1
bovine insulin active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
ambi nrshng daily facial msturzer 1,20220623,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,1
alphahydroxyprogesterone,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
tri-test 200,20211012,Lack of assurance of sterility,Terminated,1
hydromorphone 50 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
cardioplegia solution,20230428,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,Completed,1
ctx7 kit,20211203,Subpotent Drug: Product contains less Sodium Fluoride than listed on product label.,Terminated,1
oxytocin 10 units added to lactated ringers in a 500 ml lntravia bag,20160420,Lack of Assurance of Sterility,Terminated,1
clocortolone pivalate cream,20180308,Failed Stability Specifications:Out-of-specification results observed for viscosity during stability testing.,Terminated,1
gaia kratom,20180620,Microbal Contamination of Non-Sterile Product; FDA analysis found  salmonella contamination,Terminated,1
glutathione 200mg,20190619,Lack of Assurance of Sterility,Terminated,1
verapamil hydrochloride injection,20240702,Cross contamination with other products.,Ongoing,1
biest td 80,20150310,Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin cross contamination.,Terminated,1
net remedies,20180720,Microbial contamination,Terminated,1
cefazolin for injection usp,20220413,cGMP deviations: Temperature abuse,Terminated,1
papaverine,20190722,Lack of Processing Controls,Terminated,1
tm,20180322,Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,Terminated,1
goose creek hand sanitizer aloe watermelon lemonade,20210427,"Chemical contamination: product found to be contaminated with methanol (wood alcohol), benzene and acetaldehyde.",Terminated,1
rivastigmine transdermal system,20220126,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,Terminated,1
screamin,20180516,CGMP Deviations: Products manufactured with an ingredient that exceed the benzene levels allowed in drug products.,Terminated,1
exforge hct,20130808,"Chemical Contamination: Novartis Pharmaceuticals Corporation has recalled physician sample bottles of Diovan, Exforge, Exforge HCT,Lescol XL, Stalevo, Tekturna and Tekturna HCT Tablets due to contamination with Darocur 1173 a photocuring agent used in inks on shrink-wrap sleeves.",Terminated,1
glycyrrhizic acid,20181217,Lack of sterility assurance.,Terminated,1
montelukast sodium oral granules usp,20230327,Failed Impurities/Degradation Specifications: failed impurities for Sulphoxide and Impurity A.,Terminated,1
biest td 91,20150310,Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin cross contamination.,Terminated,1
phentolamine mesylate 5 mg,20140827,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance.",Terminated,1
fentanyl,20230921,Lack of assurance of sterility:,Terminated,1
p-p-p,20150922,Lack of assurance of sterility,Terminated,1
methotrexate sodium active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
medroxyprogesterone 150mg w,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
neorelief for muscle cramping,20180831,"CGMP Deviations: finished product produced with active ingredients recalled by the manufacturer, King Bio Inc., due to water contamination issues that could potentially affect the quality of this product.",Terminated,1
glycopyrrolate,20190912,Lack of Assurance of Sterility,Terminated,1
potassium phosphate,20191030,Failed Stability Specifications: Product exceeds compendia and firm's specifications for iron content.,Terminated,1
2 mcg,20160505,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,Terminated,1
sodium bicarbonate 8,20220509,Lack of assurance of sterility.,Completed,1
0,20170706,Lack of Assurance of Sterility: Customer complaints for leaking bags.,Terminated,1
nifedipine extended-release tablets,20170307,Cross Contamination with another product:residual powder found in inlet air duct identified as sorafenib,Terminated,1
medroxyprogesterone,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
sodium bicarbonate powder,20130611,Presence of Foreign Substance: raw material recalled due to stainless steel and other contamination.,Terminated,1
diphenhydramine hcl oral solution 12,20220607,CGMP Deviations: products manufactured under conditions which reflect manufacturing processes that were not adequately controlled.,Completed,1
capecitabine tablets usp 500 mg,20151221,Failed Dissolution Specifications: low test results at the 18 month time-point,Terminated,1
quad mix,20140827,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance.",Terminated,1
bi-est,20200406,Lack of Processing Control,Terminated,1
estrone,20170406,cGMP Deviations: lack of quality assurance at the API manufacturer.,Terminated,1
goodsense aller,20210727,Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.,Terminated,1
ephedrine sulfate 50 mg,20201217,"Lack of Assurance of Sterility; potential for a defective syringe cap, resulting in a non-integral unit",Terminated,1
digestivease,20181009,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.,Terminated,1
2-deoxy-d-glucose active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
sexy monkey,20140109,"Marketed Without an Approved NDA/ANDA: These dietary supplements contain undeclared sildenafil, an analogue of sildenafil, and/or tadalafil.",Terminated,1
tp drug laboratories vitamin c ampules,20180119,"Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",Terminated,1
daytrana,20160822,Defective Delivery System: Out of Specification (OOS) results for the mechanical peel force (MPF) and and/or the z-statistic values.,Terminated,1
doxycycline hyclate tablets usp,20200513,Failed dissolution specification: The dissolution test at the 24 month time point (end of shelf life) yielded an out of specification result.,Terminated,1
forever beautiful bee pollen,20141103,Marketed Without an Approved NDA/ANDA: FDA analysis found product to contain sibutramine and phenolphthalein,Terminated,1
morphine sulfate 25 mg,20130502,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,1
weiner boner honey,20240319,Marketed without an approved NDA/ANDA: Products found to contain undeclared sildenafil and/or tadalafil.,Ongoing,1
vancomycin hci pf,20231004,Labeling: Not Elsewhere Classified,Terminated,1
testosterone propionate 100 mg,20161117,Lack of Assurance of Sterility,Ongoing,1
first aid antiseptic ointment,20240911,"Incorrect/Undeclared Excipients: The inactive ingredients labeled on the product boxes and tubes are listed as ""mineral oil , petrolatum "". The inactive ingredients in the actual product are polyethylene glycol 400 , polyethylene glycol 4000.",Ongoing,1
icee cherry scented antibacterial hand gel,20190401,CGMP deviations: Stability testing was not conducted on manufactured sunscreen and hand sanitizer OTC products.,Terminated,1
vitamin supplement,20151106,Superpotent Drug: The vitamin supplement contains an extremely high level of vitamin D3 (Cholecalciferol).,Ongoing,1
piperacillin and tazobactam for injection,20230515,Lack of Assurance of Sterility,Terminated,1
cyanocobalamin 1 mg,20170406,Lack of Assurance of Sterility: due to concerns with production processes which cannot assure sterility of products intended to be sterile.,Terminated,1
quad1,20160921,Lack of Assurance of Sterility,Terminated,1
clindamycin phosphate topical solution usp,20170228,CGMP Deviations: an expired active ingredient was used in the manufacture of these recalled lots.,Terminated,1
chloraprep with tint,20130613,Lack of Assurance of Sterility; Immediate product pouches may not be properly sealed.,Terminated,1
test cypionate 200mg,20211012,Lack of assurance of sterility,Terminated,1
pyridoxine hcl,20210813,Lack of Assurance of Sterility: FDA inspection raised sterility assurance concerns,Terminated,1
ultra-test,20211012,Lack of assurance of sterility,Terminated,1
olanzapine tablets,20170322,Failed Impurities/Degradation Specifications: out of specification results for the related substances test parameter (impurities).,Terminated,1
hydromorphone hydrochloride injection,20141001,Lack Of Assurance Of Sterility: Confirmed customer complaints of glass product container vials that may be broken or cracked.,Terminated,1
glutathione inhalation,20150515,Lack of Assurance of Sterility; objectionable conditions observed during a FDA inspection,Terminated,1
dr scholls clr away liq wart remvr 20ct sku 998384   dr scholls callus remover pads 4ct sku 998431   dr scholls corn removers 9ct sku 998403 distributed to specific family dollar stores 04,20220623,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,1
rite aid maximum strength tussin cough,20130118,"Presence of Precipitate; white substance confirmed as Guaifenesin, an active ingredient was observed in some bottles.  If the product is shaken or warmed the white particles goes into the solution.",Terminated,1
pradaxa,20121105,Defective container; damaged bottles could allow moisture to get into the bottle and thus may impair the quality of the product,Terminated,1
guardian antacid ex strgth tblt frt 96ct sku 901379   guardian chwable smthies brry fsion 60ct sku 999845   gs effervescent antacid tablet 36 ct sku 913102   guardian antcd tblt xtra stgth bry 96 ct sku 914109 	  guardian antcid tblt reg stth frt 150 ct sku 914726   gc antacid supreme cherry 12 fl oz sku 914112   guardian antd ultr strgth 1000 frt 72 ct sku 902322  distributed to specific family dollar stores 04,20220623,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,1
8,20220111,Lack of Assurance of Sterility,Terminated,1
gabapentin tablets,20230217,Presence of Foreign Tablets/Capsules: Pharmacist reported presence of some Gabapentin tablets 800 mg comingled in Gabapentin 600 mg 500 count bottles.,Terminated,1
papaverine 1nj 30mg,20131101,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,Terminated,1
flecainide acetate,20130702,"Labeling: Label Mixup: FLECAINIDE ACETATE, Tablet, 100 mg may be potentially mislabeled as the following drug:   COLESTIPOL HCL MICRONIZED, Tablet, 1 g, NDC 59762045001, Pedigree: AD56847_1, EXP: 5/21/2014.",Terminated,1
dr,20180720,Microbial contamination,Terminated,1
cefazolin,20210917,Lack of sterility assurance.,Terminated,1
testosterone cypionate 250mg 10ml,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
lidocaine hydrochloride jelly usp,20221013,CGMP Deviations:,Ongoing,1
air compressed,20150310,Failed Impurities/Degradation Specification; out of specification results for carbon dioxide,Terminated,1
testosterone 200 mg pellet,20180726,Labeling: Incorrect or Missing Lot and/or Exp Date: Incorrect expiration date on label,Terminated,1
cvs health fast acting lubricant eye drops dry eye therapy,20190702,Lack of Assurance of Sterility,Completed,1
sodium edta 150 mg,20130502,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,1
papaverine-phentolamine 15-0,20190221,Lack of Processing Controls: Insanitary conditions observed during compounding of sterile drugs during recent FDA Inspection.,Terminated,1
estradiol cypionate 10 mg,20160517,Lack of Assurance of Sterility: FDA inspection identified GMP violations potentially impacting product quality and sterility.,Terminated,1
neonatal tpn starter bag,20230714,Lack of assurance of sterility. Validation data for decontamination cycles is lacking.,Terminated,1
kissable diabetics foot cream,20241113,CGMP Deviations: lack of adequate release testing.,Ongoing,1
levothyroxine sodium tablets usp,20241118,Superpotent Drug and Subpotent Drug: potency failures obtained,Ongoing,1
cantharitus multi-mix prep,20151019,Lack of Assurance of Sterility,Terminated,1
morton,20120508,"Impurities/Degradation Products: The product was found to contain a slightly out of specification level of bromides, exceeding the bromides limit for USP Sodium Chloride.",Terminated,1
quadmix plus,20221230,Lack of Assurance of Sterility,Terminated,1
fentanyl buccal tablets cii,20230427,Labeling: Incorrect or Missing Package Insert,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
hcg,20150912,Lack of Assurance of Sterility; The firm is recalling all sterile preparations that are within expiry due to deficient practices which may have an impact on sterility assurance.,Terminated,1
neostigmine methylsulfate pf inj,20201125,Labelling: Missing label.,Terminated,1
duraclon,20220413,cGMP deviations: Temperature abuse,Terminated,1
liothyronine sodium tablets,20231204,Failed Impurities/Degradation Specifications,Terminated,1
lipo b 25mg,20191220,Lack of sterility assurance.,Terminated,1
neonatal tpn starter bag,20230428,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,Completed,1
hydromorphone 80 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
broncochem cold,20240216,"Stability testing failures for one or two of the four active pharmaceutical ingredients among the finished drug products, i.e., Phenylephrine HCL, and/or Chlorpheniramine Maleate.",Ongoing,1
vancomycin 25 mg,20150615,Lack of Assurance of Sterility: Process deficiencies were observed in the sterile ophthalmic and injectable products that could have compromised the sterility of the product.,Terminated,1
acetyl-d-glucosamine w,20130529,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Ongoing,1
calcipotriene bp,20180209,CGMP Deviations: Lack of stability data and controls to support the manufacturers assigned retest or expiration date in firm's container/closure system.,Terminated,1
moxifloxacin ophthalmic solution usp,20180726,Failed Impurities/Degradation Specifications: An out-of-specification result in the related substance test during three month long-term stability study.,Terminated,1
fluticasone propionate nasal spray,20150227,"Failed Stability Specifications: Out of specification for preservative, benazalkonium chloride.",Terminated,1
fludarabine phosphate for injection,20210730,Lack of Assurance of Sterility: the manufacturing firm had microbial recoveries during environmental monitoring in aseptic areas of manufacturing.,Terminated,1
guaifenesin er,20130702,"Labeling:Label Mixup; guaiFENesin ER, Tablet, 600 mg may be potentially mislabeled as    MISOPROSTOL, Tablet, 200 mcg, NDC 59762500801, Pedigree: AD21965_13, EXP: 5/1/2014;  TACROLIMUS, Capsule, 1 mg, NDC 00781210301, Pedigree: AD56917_7, EXP: 5/21/2014;  LACTOBACILLUS GG, Capsule, NDC 49100036374, Pedigree: AD73627_17, EXP: 5/30/2014;  LACTOBACILLUS GG, Capsule, NDC 49100036374, Pedigree: W003216",Terminated,1
norepinephrine 8 mg in dextrose 5,20170810,Lack of sterility assurance: Microbial growth detected during a routine simulation of the manufacturing process. No batches of distributed product have been identified as actually containing microorganisms.,Terminated,1
paricalcitol capsules,20160922,Failed Impurities/Degradation Specifications: out of specification test results for impurities during stability testing.,Terminated,1
fentanyl 2,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
risedronate sodium tablets,20220310,FAILED CONTENT UNIFORMITY SPECIFICATIONS,Terminated,1
hyaluronidase injection solution,20140827,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance.",Terminated,1
vitamin b complex 100,20190619,Lack of Assurance of Sterility,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
ofloxacin ophthalmic solution,20221013,CGMP Deviations:,Ongoing,1
morphine 25 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
kroger athlete,20201117,Failed Impurities/Degradation Specifications: An unknown degradation impurity was detected slightly above the specification limit in Clotrimazole Cream USP 1%.,Terminated,1
ampicillin and sulbactam for injection,20230515,Lack of Assurance of Sterility,Terminated,1
s,20240301,Failed Stability Specifications,Ongoing,1
potassium chloride for inj,20140327,Presence of Particulate; red and black particulate within the solution and embedded within the plastic vial identified as iron oxide,Terminated,1
lloyd thyro-tab 0,20130401,"cGMP deviations; After quality review of stability failures in previous lots, there is insufficient data to determine that other lots are not affected.",Terminated,1
magnesium sulfate 2 grams in dextrose 5,20130314,Non-Sterility; mold contamination,Terminated,1
pink pussycat sensual enhancement capsule,20220329,"Marketed Without An Approved NDA/ANDA: FDA analysis found the product to contain undeclared sildenafil, an ingredient found in FDA approved products for the treatment of male sexual enhancement, making this an unapproved drug.",Terminated,1
tekturna,20130808,"Chemical Contamination: Novartis Pharmaceuticals Corporation has recalled physician sample bottles of Diovan, Exforge, Exforge HCT,Lescol XL, Stalevo, Tekturna and Tekturna HCT Tablets due to contamination with Darocur 1173 a photocuring agent used in inks on shrink-wrap sleeves.",Terminated,1
0,20180612,Lack of Assurance of Sterility: Potential leakage of bags.,Terminated,1
savinase 100 mcg,20171116,Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,Terminated,1
