drug_name,serious,seriousnessdeath,num_reactions
thiamine,3,0,9.0
thiamine hydrochloride,1,0,1.0
thymoglobulin,1,0,1.0
thyrax,1,0,3.0
thyroid therapy,1,0,5.0
tiapridal,1,0,1.0
"tienam 500mg/500mg, poudre pour perfusion",1,0,1.0
timentin,2,0,1.0
tizanidine (tizanidine),1,0,4.0
tobi,3,0,2.3333333333333335
tobi podhaler,3,0,2.3333333333333335
tofacitinib citrate,2,0,1.0
topamax,5,1,4.75
topimax,2,0,1.0
topiramate,2,0,15.5
toprol,3,0,2.5
toradol,2,0,5.0
toviaz,2,0,7.0
tracleer,1,0,2.0
tramadol,6,0,2.6
tramadol hydrochloride,2,0,1.0
tramadol.,2,0,2.0
trazenta,1,0,4.0
trazodone,4,0,1.0
treanda,2,0,1.0
triamterene and hydrochlorothiazid,1,0,3.0
triamterene.,2,0,1.0
triatec,1,0,6.0
tricor                             /00090101/,2,0,2.0
trimetazidine hydrochloride sandoz,1,0,1.0
tritace,1,0,1.0
trombyl,1,1,2.0
tums                               /00193601/,2,0,2.0
tussionex,1,0,2.0
tylenol,3,0,1.0
tylenol                            /00020001/,2,0,5.0
tylenol [paracetamol],1,0,2.0
tylenol pm,2,0,4.0
tysabri,1,0,6.0
tyvaso,28,0,2.4285714285714284
uloric,2,0,3.0
ulram,2,0,3.0
ultracet,1,0,2.0
ultram,1,0,1.0
unknown add medication,2,0,1.0
unknown cholesterol medication,1,0,17.0
unknown parkinson medication,1,0,17.0
unspecified medication,2,0,4.0
uromitexan,13,13,1.0769230769230769
vagifem,1,0,12.0
valium,5,0,4.0
valproate semisodium,2,0,5.0
valsartan,2,0,10.0
valtrex,1,0,7.0
vancomycin mylan,1,0,1.0
varenicline tartrate,1,0,3.0
venlafaxine,2,0,1.0
venlafaxine hcl,2,0,1.0
venlafaxine hydrochloride,1,0,1.0
ventavis,4,0,3.0
ventolin,2,0,6.0
ventolin hfa,2,0,5.0
ventoline,1,0,1.0
verapamil,2,0,3.0
viagra,4,0,2.0
vibramycin,2,0,1.0
vicodin,3,1,3.3333333333333335
vidaza,1,0,2.0
vimpat,5,1,2.3333333333333335
vincristina teva italia,1,0,1.0
vincristine,1,0,2.0
vinorelbine (unknown),1,0,1.0
vismodegib,1,0,1.0
vitamin b,1,0,13.0
vitamin b complex,2,0,1.0
vitamin b complex                  /00212701/,1,0,1.0
vitamin b6,2,0,6.0
vitamin c,1,0,4.0
vitamin d,7,1,1.4
vitamin d                          /00107901/,5,0,4.333333333333333
vitamin d nos,2,0,3.0
vitamin d3,4,0,5.666666666666667
vitamin e,1,0,1.0
vitamins,1,0,6.0
vitamins with minerals,2,0,10.0
voltaren,1,0,1.0
voltaren   gel                        /00372301/,2,0,2.0
voltaren gel,1,0,2.0
voriconazole.,1,0,2.0
votum,2,0,2.0
voveran,2,2,3.0
waran,1,1,2.0
warfarin,8,0,1.8
wellbutrin,9,0,6.4
xalkori,2,0,1.0
xanax,9,0,3.2
xarelto,2,2,4.0
xeljanz,2,0,3.0
xeloda,1,1,1.0
xgeva,1,0,2.0
xifaxan,2,0,11.0
xtandi,2,0,4.0
yasmin,4,0,8.0
yaz,5,0,6.6
ymea silhouet,1,0,4.0
zafirlukast,2,0,1.0
zantac,3,0,2.0
zegerid otc capsules,2,0,1.0
zerit,1,0,6.0
zestril,1,0,2.0
zetia,2,0,4.0
ziagen,1,0,6.0
zinc,2,0,6.0
zinc sulfate,1,0,2.0
zithromax,2,0,1.0
zocor,6,0,2.0
zofran,3,0,4.5
zofran                             /00955301/,2,0,9.0
zolinza,2,0,3.0
zoloft,4,0,5.5
zoloft                             /01011401/,1,0,7.0
zolpidem,3,0,7.0
zolpidem sandoz,1,0,4.0
zonegran,4,0,2.0
zonisamide,2,0,3.0
zovirax,1,0,1.0
zylol,1,0,1.0
zyloric,2,0,4.0
zyprexa,6,0,6.75
zyrtec,3,0,1.5
zytiga,1,0,4.0
