drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
olanzapine,1,102,929,"Lannett Company, Inc."
,1,24,21,Unknown
,0,80,343,Unknown
,0,12,10,Unknown
,0,0,22,Unknown
,0,40,14,Unknown
eculizumab-aeeb,1,38,179,Amgen Inc
"adenosine, niacinamide",0,0,28,LAON COMMERCE co ltd
aluminium nitricum,0,0,0,"Hahnemann Laboratories, INC."
,0,28,143,Unknown
nitisinone,0,7,64,Swedish Orphan Biovitrum AB (publ)
"garlic, avena sativa flowering top, angelica archangelica root, arabica coffee bean, holy basil leaf, passiflora edulis flower, scutellaria lateriflora whole, verbena hastata top, and macropiper methysticum root",0,0,12,Forces of Nature
,0,0,14,Unknown
"titanium dioxide, zinc oxide",0,0,30,Kenvue Brands LLC
,0,0,20,Unknown
"ascorbic acid, sodium fluoride, vitamin a and vitamin d",0,0,175,"Method Pharmaceuticals, LLC"
,1,88,143,Unknown
,1,44,483,Unknown
,1,25,399,Unknown
ondansetron hydrochloride,0,63,152,"NCS HealthCare of KY, LLC dba Vangard Labs"
"avobenzone, octinoxate, octisalate, octocrylene",0,0,4,"Owens & Minor Distribution, Inc."
,0,0,16,Unknown
azithromycin,0,77,641,Preferred Pharmaceuticals Inc.
divalproex sodium,1,252,589,Mylan Pharmaceuticals Inc.
,0,0,10,Unknown
,1,167,79,Unknown
,0,0,29,Unknown
phenylephrine hydrochloride,0,0,29,Harris Teeter
metoclopramide,1,102,229,American Health Packaging
,0,0,10,Unknown
,0,0,14,Unknown
even tone plus niacinamide peach blossom and rice milk antiperspirant deodorant,0,0,5,Conopco Inc. d/b/a/ Unilever
,0,26,162,Unknown
,0,36,19,Unknown
even tone plus niacinamide apple blossom and mango butter antiperspirant deodorant,0,0,5,Conopco Inc. d/b/a/ Unilever
even tone plus niacinamide shea butter and vanilla antiperspirant deodorant,0,0,5,Conopco Inc. d/b/a/ Unilever
acetaminophen,0,0,29,WALMART INC.
even tone plus niacinamide rosewood and powder antiperspirant deodorant,0,0,5,Conopco Inc. d/b/a/ Unilever
,0,0,10,Unknown
diphenhydramine hcl,0,0,43,Best Choice
,0,0,30,Unknown
lamotrigine,1,51,325,"Endo USA, Inc."
pyrithione zinc,0,0,6,The Procter & Gamble Manufacturing Company
,0,0,22,Unknown
,0,0,40,Unknown
,0,0,17,Unknown
,0,0,10,Unknown
,0,24,57,Unknown
,0,0,22,Unknown
,0,0,22,Unknown
,0,0,22,Unknown
first aid burn cream,0,0,23,ProStat First Aid LLC
